assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
MGC,MGC,Vanguard Morningstar Mega Cap ETF,equity,us,MGC,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-12-27,10000,,,,,,,
MGK,MGK,Vanguard Morningstar Mega Cap Growth ETF,equity,us,MGK,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-12-27,33060,,,,,,,
MGV,MGV,Vanguard Morningstar Mega Cap Value ETF,equity,us,MGV,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-12-27,13126,,,,,,,
MTUM,MTUM,iShares MSCI USA Momentum Factor ETF,equity,us,MTUM,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2013-04-18,26000,,,,,,,
MUB,MUB,iShares National Muni Bond ETF,bond,us,MUB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-09-10,,,,,,,,
NOBL,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,equity,us,NOBL,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2013-10-10,,,,,,,,
OEF,OEF,iShares S&P 100 ETF,equity,us,OEF,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-10-27,20000,,,,,,,
PALL,PALL,abrdn Physical Palladium Shares ETF,equity,us,PALL,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-01-08,,,,,,,,
PBDC,PBDC,Putnam BDC Income ETF,equity,us,PBDC,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2022-09-30,5223,,,,,,,
PDBC,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,commodity,us,PDBC,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2014-11-07,,,,,,,,
